time_utc,latitude,longitude,wind_sfc_speed_ms,wind_sfc_dir_deg,wind_500_speed_ms,wind_500_dir_deg,temp_2m_C,temp_500_C,rh_2m_pct,pressure_sfc_hPa,precipitable_water_mm,cloud_cover_frac,cloud_top_temp_C,CAPE_Jkg,Lifted_Index_C,K_index,shear_850_500_ms,thunder_label
2019-06-05 20:00:00,28.381235568794324,-88.45755460171115,5.75,149.8,16.82,212.3,14.97,-10.7,96.5,1027.1,24.67,0.04,-2.6,292.6,-3.06,20.94,2.04,1
2019-10-05 04:00:00,32.03610012820705,-85.95164943699271,6.26,181.1,18.58,96.2,23.05,-25.67,59.8,1015.8,35.33,0.429,-8.73,872.5,-9.17,22.78,11.63,1
2019-09-06 20:00:00,40.23351752427325,-87.31816109840322,5.9,251.3,20.61,122.3,14.47,-9.77,67.3,1006.2,23.31,0.555,17.82,156.5,4.41,18.15,2.47,0
2019-05-20 10:00:00,35.14164848120534,-80.30711261253268,5.05,168.2,13.26,6.5,20.17,-4.67,57.3,1009.6,15.94,0.343,-3.68,236.4,-4.74,17.69,2.42,1
2019-11-01 10:00:00,37.75803749105923,-97.23469312246257,10.84,68.7,23.07,306.8,23.41,-17.04,52.7,1031.2,18.12,0.184,-7.21,547.0,-3.56,19.35,11.94,1
2019-09-21 12:00:00,44.7034911018135,-91.40525982140443,0.34,187.4,20.95,272.2,9.52,-11.07,100.0,1024.2,14.87,0.447,-0.77,112.5,-3.99,13.95,10.14,1
2019-09-10 03:00:00,40.36010870626419,-91.50338526713378,7.31,128.2,18.92,66.1,17.04,-22.95,67.1,1006.6,26.6,0.658,-44.36,699.5,-3.91,21.7,11.4,1
2019-08-30 15:00:00,33.687229962824354,-91.65893592594159,7.44,104.7,27.3,130.3,21.76,13.61,73.1,1005.4,40.12,0.031,-14.04,104.6,7.7,13.81,6.38,0
2019-05-06 10:00:00,33.92883843593097,-86.72403215914663,6.86,118.1,19.19,151.6,11.22,-14.94,70.2,1017.1,35.32,0.417,-16.47,216.9,-0.17,17.62,5.33,0
2019-07-10 05:00:00,37.3754415408201,-90.20343878906556,3.51,158.0,25.28,120.4,13.4,-11.69,58.5,1017.5,26.13,0.086,-17.24,158.9,-0.29,18.72,3.11,0
2019-06-02 01:00:00,38.30730416837809,-89.65134880374075,9.62,319.2,10.49,287.4,21.76,-17.68,33.9,1027.1,17.1,0.372,-5.12,357.2,-2.83,18.32,0.04,0
2019-08-08 15:00:00,35.01421851673342,-91.3528801570647,9.46,264.3,26.72,261.2,16.26,-21.61,38.4,1010.9,28.64,0.339,11.47,349.1,-1.89,17.33,19.28,1
2019-08-10 09:00:00,37.8972244562996,-80.16601077962875,3.4,240.4,24.83,276.2,11.39,-5.36,67.9,998.0,46.62,0.594,-15.77,9.7,2.62,14.7,15.11,0
2019-06-19 08:00:00,25.470649888281976,-81.44877302361915,2.41,169.7,37.29,325.5,20.21,-39.07,75.0,1010.3,13.83,0.248,-14.35,1498.4,-10.99,26.95,19.93,1
2019-11-06 19:00:00,33.59245727793688,-93.84551621271258,1.83,0.7,32.81,214.3,23.05,-33.24,30.0,1008.2,34.0,0.642,-42.37,602.6,-4.79,20.51,25.01,1
2019-09-19 01:00:00,30.578761521469534,-97.76812150466665,6.68,122.6,27.49,221.2,35.71,-11.8,42.7,985.9,30.12,0.319,-8.71,649.1,-2.86,26.7,19.07,1
2019-10-19 13:00:00,27.583488904862207,-83.20470551922794,6.14,292.7,15.69,259.9,20.59,-18.68,46.4,1010.2,16.32,0.619,-41.13,485.0,-3.17,17.19,10.19,1
2019-11-18 19:00:00,26.990930256175503,-80.05659497148551,4.92,139.7,12.92,245.2,20.08,-6.55,36.5,1022.6,27.91,0.393,-19.77,216.7,2.17,16.25,1.73,0
2019-08-30 00:00:00,37.06384331229335,-94.14782211920709,12.24,203.0,14.2,313.1,18.01,-20.18,8.6,1020.5,20.0,0.36,-7.05,117.7,3.55,11.41,2.78,1
2019-05-20 18:00:00,35.47201094305223,-92.84430148316467,4.62,73.7,24.08,277.3,28.04,-31.72,27.1,1009.8,14.59,0.249,-22.69,540.5,-4.82,24.52,12.68,0
2019-06-15 02:00:00,30.071682339927385,-81.16733637029594,6.56,329.7,30.35,43.4,22.28,-15.66,58.9,1008.7,13.31,0.383,-16.8,558.1,-1.27,16.72,12.38,1
2019-08-15 14:00:00,34.41900117545029,-85.7774096399382,5.42,332.3,10.31,334.2,25.85,-17.68,74.1,1007.8,16.35,0.127,5.94,1009.2,-6.65,22.83,4.77,1
2019-07-25 07:00:00,34.84464630364816,-94.08723336440728,11.89,52.6,13.25,245.9,21.56,-25.82,42.8,1007.6,10.95,0.532,-13.42,628.9,-0.73,20.92,1.29,1
2019-08-23 11:00:00,28.900179608772316,-88.3790701743217,0.03,260.7,20.27,45.8,26.4,-7.14,71.3,1021.1,48.44,0.221,-21.56,529.5,-0.9,21.69,4.87,0
2019-06-10 15:00:00,38.041861237633015,-81.11540841271488,5.07,27.1,10.92,277.9,22.65,-11.43,62.4,1026.6,13.56,0.225,0.37,443.7,-4.16,21.57,1.65,1
2019-07-15 06:00:00,40.61838712772181,-83.76373786108442,7.84,215.5,16.62,129.0,10.14,-24.86,77.4,1020.5,43.72,0.491,-10.93,598.5,2.95,18.58,5.62,0
2019-05-08 21:00:00,40.82927081779038,-85.16334572542681,5.33,64.3,29.96,290.2,17.98,-30.33,100.0,1005.7,29.59,0.221,-16.88,1490.5,-12.0,24.34,12.09,1
2019-08-22 22:00:00,37.0493966140691,-85.26007376545955,2.09,52.5,25.77,343.9,18.2,-11.45,38.0,1004.8,4.45,0.434,-9.51,188.0,-1.36,15.16,10.7,0
2019-09-03 05:00:00,35.23277165038028,-96.4395935141546,6.53,1.5,26.64,91.9,23.1,-24.56,48.0,1027.6,15.03,0.262,-30.95,736.8,-2.61,23.16,10.92,1
2019-11-11 02:00:00,26.2201428601079,-83.50637521544127,1.14,338.7,12.12,308.7,21.07,-24.59,29.2,1013.8,29.11,0.735,-17.76,409.4,-0.69,15.83,2.53,1
2019-07-19 03:00:00,30.756625977032115,-94.47762735113083,8.01,298.5,6.03,278.5,29.31,-16.09,97.8,1005.7,16.96,0.412,-19.35,1261.9,-12.0,30.56,12.96,1
2019-06-22 19:00:00,26.865428935563397,-81.3926668419694,4.76,27.9,16.57,241.6,22.79,-14.53,49.1,1013.9,27.31,0.476,-4.0,531.4,-2.58,14.57,2.27,1
2019-07-03 16:00:00,44.27646321756947,-92.70720017972434,4.26,215.8,1.38,138.6,23.3,-9.97,65.9,999.6,2.61,0.555,17.23,438.7,3.94,23.36,8.73,1
